F7	PPM001974	PGS000767	depressive symptom measurement|major depressive disorder	Depression	Bilateral nucleus acumbens volume	PCs(1-2)	R² = 0.064				European, Hispanic or Latin American, African unspecified, Asian unspecified, NR		73	European:100		PSS000986	31537779
F7	PPM001975	PGS000767	depressive symptom measurement|major depressive disorder	Depression	Bilateral putamen volume	PCs(1-2)	R² = 0.095				European, Hispanic or Latin American, African unspecified, Asian unspecified, NR		73	European:100		PSS000986	31537779
F4	PPM002268	PGS000837	insulin sensitivity measurement	Insulin sensitivity index	Severe Autoimmune Diabetes	PC1-10				0.92 [0.83,1.01]	European	ANDIS	3194	European:100		PSS001086	34737425
F4	PPM002269	PGS000837	insulin sensitivity measurement	Insulin sensitivity index	Severe Insulin-Deficient Diabetes	PC1-10				0.93 [0.86,0.99]	European	ANDIS	3930	European:100		PSS001087	34737425
F4	PPM002270	PGS000837	insulin sensitivity measurement	Insulin sensitivity index	Severe Insulin-Resistant Diabetes	PC1-10				0.84 [0.79,0.91]	European	ANDIS	3869	European:100		PSS001088	34737425
F4	PPM002271	PGS000837	insulin sensitivity measurement	Insulin sensitivity index	Moderate Obesity-related Diabetes	PC1-10				0.88 [0.82,0.94]	European	ANDIS	4116	European:100		PSS001085	34737425
F4	PPM002272	PGS000837	insulin sensitivity measurement	Insulin sensitivity index	Moderate Age-Related Diabetes	PC1-10				0.95 [0.9,1.0]	European	ANDIS	5597	European:100		PSS001084	34737425
F4	PPM002508	PGS000877	Insulin resistance	Insulin resistance	Insulin sensitivity				-0.09 (0.019)		Not reported	GENESIS	2764	European:100		PSS001129	27841877
F4	PPM002509	PGS000877	Insulin resistance	Insulin resistance	Insulin sensitivity index				-0.1 (0.016)		Not reported	MAGIC	4769	European:100		PSS001130	27841877
F7	PPM002680	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Sertraline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.02			1.03 [0.95,1.11]	European	AGDS	5719	European:100		PSS001283	35602235
F7	PPM002681	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Escitalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			1.0 [0.92,1.1]	European	AGDS	4365	European:100		PSS001279	35602235
F7	PPM002682	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Venlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.06			1.05 [0.96,1.15]	European	AGDS	3967	European:100		PSS001284	35602235
F7	PPM002683	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Amitriptyline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.04			0.96 [0.81,1.12]	European	AGDS	1657	European:100		PSS001275	35602235
F7	PPM002684	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Mirtazapine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.05			1.05 [0.91,1.22]	European	AGDS	1987	European:100		PSS001281	35602235
F7	PPM002685	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Desvenlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			1.01 [0.91,1.12]	European	AGDS	2524	European:100		PSS001277	35602235
F7	PPM002686	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Citalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.01			1.02 [0.9,1.16]	European	AGDS	2585	European:100		PSS001276	35602235
F7	PPM002687	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Fluoxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.07			1.06 [0.96,1.17]	European	AGDS	3670	European:100		PSS001280	35602235
F7	PPM002688	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Duloxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.09			1.06 [0.95,1.2]	European	AGDS	1995	European:100		PSS001278	35602235
F7	PPM002689	PGS000907	major depressive disorder	Major depressive disorder	Headaches in Paroxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.11			1.08 [0.92,1.26]	European	AGDS	1580	European:100		PSS001282	35602235
F7	PPM002690	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Sertraline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.07			1.06 [0.98,1.14]	European	AGDS	5719	European:100		PSS001243	35602235
F7	PPM002691	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Escitalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.07			1.06 [0.98,1.15]	European	AGDS	4365	European:100		PSS001239	35602235
F7	PPM002692	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Venlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			1.01 [0.93,1.09]	European	AGDS	3967	European:100		PSS001244	35602235
F7	PPM002693	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Amitriptyline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.04			0.96 [0.83,1.1]	European	AGDS	1657	European:100		PSS001235	35602235
F7	PPM002694	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Mirtazapine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.09			1.07 [0.93,1.23]	European	AGDS	1987	European:100		PSS001241	35602235
F7	PPM002695	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Desvenlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.03			0.97 [0.87,1.07]	European	AGDS	2524	European:100		PSS001237	35602235
F7	PPM002696	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Citalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			0.99 [0.87,1.12]	European	AGDS	2585	European:100		PSS001236	35602235
F7	PPM002697	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Fluoxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.41			1.16 [1.04,1.29]	European	AGDS	3670	European:100		PSS001240	35602235
F7	PPM002698	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Duloxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.01			0.98 [0.88,1.1]	European	AGDS	1995	European:100		PSS001238	35602235
F7	PPM002699	PGS000907	major depressive disorder	Major depressive disorder	Dizziness in Paroxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.12			1.08 [0.93,1.24]	European	AGDS	1580	European:100		PSS001242	35602235
F7	PPM002700	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Sertraline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.01			1.03 [0.94,1.12]	European	AGDS	5719	European:100		PSS001373	35602235
F7	PPM002701	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Escitalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			1.01 [0.9,1.12]	European	AGDS	4365	European:100		PSS001369	35602235
F7	PPM002702	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Venlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.18			1.1 [1.0,1.22]	European	AGDS	3967	European:100		PSS001374	35602235
F7	PPM002703	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Amitriptyline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			0.99 [0.81,1.2]	European	AGDS	1657	European:100		PSS001365	35602235
F7	PPM002704	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Mirtazapine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.01			1.03 [0.86,1.24]	European	AGDS	1987	European:100		PSS001371	35602235
F7	PPM002705	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Desvenlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.03			1.04 [0.92,1.18]	European	AGDS	2524	European:100		PSS001367	35602235
F7	PPM002706	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Citalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.32			1.16 [0.98,1.38]	European	AGDS	2585	European:100		PSS001366	35602235
F7	PPM002707	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Fluoxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.07			1.06 [0.95,1.19]	European	AGDS	3670	European:100		PSS001370	35602235
F7	PPM002708	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Duloxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.21			0.9 [0.79,1.04]	European	AGDS	1995	European:100		PSS001368	35602235
F7	PPM002709	PGS000907	major depressive disorder	Major depressive disorder	Shakes in Paroxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.53			1.19 [1.0,1.41]	European	AGDS	1580	European:100		PSS001372	35602235
F7	PPM002710	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Sertraline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.18			1.13 [0.97,1.31]	European	AGDS	5719	European:100		PSS001303	35602235
F7	PPM002711	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Escitalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.03			0.96 [0.8,1.14]	European	AGDS	4365	European:100		PSS001299	35602235
F7	PPM002712	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Venlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.51			1.22 [1.03,1.45]	European	AGDS	3967	European:100		PSS001304	35602235
F7	PPM002713	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Amitriptyline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.04			1.06 [0.8,1.4]	European	AGDS	1657	European:100		PSS001295	35602235
F7	PPM002714	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Mirtazapine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.2			1.13 [0.9,1.43]	European	AGDS	1987	European:100		PSS001301	35602235
F7	PPM002715	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Desvenlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			1.0 [0.8,1.24]	European	AGDS	2524	European:100		PSS001297	35602235
F7	PPM002716	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Citalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.03			0.95 [0.72,1.27]	European	AGDS	2585	European:100		PSS001296	35602235
F7	PPM002717	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Fluoxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.77			1.3 [1.05,1.6]	European	AGDS	3670	European:100		PSS001300	35602235
F7	PPM002718	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Duloxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.0			0.99 [0.82,1.2]	European	AGDS	1995	European:100		PSS001298	35602235
F7	PPM002719	PGS000907	major depressive disorder	Major depressive disorder	Muscle pain in Paroxetine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.34			1.18 [0.87,1.61]	European	AGDS	1580	European:100		PSS001302	35602235
F7	PPM002720	PGS000907	major depressive disorder	Major depressive disorder	Dry mouth in Sertraline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.05			1.04 [0.98,1.11]	European	AGDS	5719	European:100		PSS001263	35602235
F7	PPM002721	PGS000907	major depressive disorder	Major depressive disorder	Dry mouth in Escitalopram takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.01			1.01 [0.94,1.09]	European	AGDS	4365	European:100		PSS001259	35602235
F7	PPM002722	PGS000907	major depressive disorder	Major depressive disorder	Dry mouth in Venlafaxine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.01			0.98 [0.91,1.05]	European	AGDS	3967	European:100		PSS001264	35602235
F7	PPM002723	PGS000907	major depressive disorder	Major depressive disorder	Dry mouth in Amitriptyline takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.09			1.06 [0.95,1.17]	European	AGDS	1657	European:100		PSS001255	35602235
F7	PPM002724	PGS000907	major depressive disorder	Major depressive disorder	Dry mouth in Mirtazapine takers	sex, age at study enrollment, genetic PCs 1-20	Variance explained (Nagelkerke's R2*100) = 0.06			1.05 [0.94,1.17]	European	AGDS	1987	European:100		PSS001261	35602235
