1160	0.051975296348466225	0.003310919137197396
1170	0.05534734011671234	0.0032075129814999504
1180	0.09363225524771653	0.004069698085987759
1190	0.06297813304617085	0.003175223105795022
1200	0.049972391115952856	0.002561006142069037
1210	0.07362499761004952	0.004020126535155942
1220	0.036493150446501185	0.0023763117710385107
1920	0.0844390012726756	0.0046964408204513645
1930	0.07481157402323829	0.005658355043586766
1940	0.09393430998267484	0.0078001056319185755
1950	0.07594394879707926	0.005129310229785859
1960	0.08839548789614628	0.005086518553391378
1970	0.09689213836627775	0.006951489374654654
1980	0.0994849664811323	0.00825419137810885
1990	0.09734057540434649	0.006649525671078008
2000	0.07697939045723133	0.004932114431784188
20002_1154	0.02740392768831699	0.009667649152360685
20002_1286	0.053924775254468496	0.005563254130285583
2010	0.06894025789804181	0.005847400634250536
20107_12	0.0243848202765852	0.006876514124550333
20110_12	0.02447122426379208	0.004788785777405302
20111_12	0.03922642004537195	0.005530528379124987
20118_8	0.023201610248421257	0.007674408957091795
20126_3	0.057966813886390474	0.017641785008328872
20126_4	0.051940704066923485	0.012255755421338463
20126_5	0.021956701684423575	0.015066538650789016
20127_irnt	0.09500686812137578	0.006317111524225501
2020	0.0611665222490581	0.004247650538638946
2030	0.06993289063365885	0.0043533607539393135
2040	0.07842098517589724	0.004777876410918735
2050	0.03253074706247919	0.002476699877789302
2070	0.032356652709520636	0.00240367065136757
2090	0.07922606137165555	0.004579390211666364
2100	0.06339146403853062	0.005147241775935231
2178	0.07755389383063614	0.003334822507024692
2188	0.06597644826656521	0.003572149124586372
4598	0.07563173548797765	0.0075657429926924355
4609_irnt	0.018882509284601855	0.007165410467625286
4653	0.07758227805644183	0.009250460990367063
5674	0.007689053335807239	0.028913232294430873
6142_1	0.013267790685512695	0.0021425502322240325
6142_2	0.00962327501166407	0.001974140732409197
6142_3	0.009579233688211466	0.004437572562241307
6142_4	0.09476310208253162	0.008496513658868422
6142_5	0.036880390607936485	0.010332490439678418
6142_6	0.029389907928890423	0.0060918290875899735
6145_1	0.03178449146564876	0.004179087010708866
6145_100	0.026671945880984867	0.0022653888572720456
6145_2	0.020446299235789007	0.004256440546576422
6145_3	0.011106311467035727	0.0022971556398440895
6145_4	0.011810322844828797	0.010191842928124776
6145_5	0.01740076067848809	0.006769877039650351
6145_6	0.06505631343646018	0.004751124584852374
757_irnt	0.009034281956724753	0.0022057272662357377
767_irnt	0.01707594286090237	0.002301541278708632
826	0.01929048280534021	0.002537437658437576
