10002	388327	+
10002	3312	-
10002	7053	+
10002	100126780	+
10002	50636	+
10002	256302	+
10002	8499	+
10002	9407	+
10002	349152	-
10002	100131496	+
10002	9673	-
10002	493754	+
10002	145474	+
10002	58190	+
10002	30851	+
10002	118427	-
10002	2646	-
10002	3706	+
10002	114787	-
10002	30010	+
10002	57647	-
10002	5318	+
10002	221786	+
10002	80328	-
10002	26686	+
10002	367	-
10002	728039	+
10002	440295	+
10002	100113382	+
10002	80279	-
10002	100505741	-
10002	23384	-
10002	57084	-
10002	80099	+
10002	1407	+
10002	9366	-
10002	164395	+
10002	342035	+
10002	118421	-
10002	5433	-
10002	3257	-
10002	3654	-
10002	643418	-
10002	3849	+
10002	730092	-
10002	51340	-
10002	284677	+
10002	11249	+
10002	57663	+
10002	4300	-
10002	55084	+
10002	63920	+
10002	146771	+
10002	135924	+
10002	79020	-
10002	388581	+
10002	3589	+
10002	730262	-
10002	547	+
10002	10038	+
10002	219875	+
10002	408	-
10002	8161	+
10002	170958	+
10002	64860	-
10002	54386	-
10002	55501	-
10002	4076	-
10002	30812	-
10002	5583	-
10002	619208	+
10002	8354	-
10002	122876	+
10002	143501	+
10009	10495	+
10009	9529	+
10009	80212	-
10009	673	+
10009	55266	+
10009	8887	+
10009	64693	+
10009	81539	+
10009	123920	-
10009	5595	-
10009	2932	+
10009	10752	+
10009	28987	-
10009	4004	-
10009	9801	+
10009	153129	+
10009	1466	-
10009	197335	-
10009	55916	+
10009	79571	+
10009	10746	+
10009	1832	+
10009	126432	-
10009	22866	+
10009	6604	-
10009	140730	-
10009	284161	+
10009	114885	+
10009	10629	-
10009	90134	+
10009	5291	+
10009	283726	+
10009	53981	+
10009	2214	-
10009	29780	-
10009	26130	+
10009	119749	-
10009	11066	-
10009	138311	-
10009	1270	+
10009	1820	+
10009	219855	-
10009	5731	-
10009	5394	-
10009	6709	+
10009	497049	-
10009	65083	+
10009	27132	-
10009	6872	+
10009	54626	+
10009	162972	+
10009	11282	+
10009	3170	+
10009	149281	+
10009	50486	-
100101467	23390	+
100101467	151613	+
100101467	57534	+
100101467	29063	+
100101467	353274	+
100101467	10273	-
100101467	23318	+
100101467	54467	+
100101467	5980	+
100101467	9409	-
100101467	8666	-
100101467	9849	+
100101467	55000	+
100101467	7186	-
100101467	10963	-
100101467	26118	+
100101467	5372	-
100101467	81566	+
100101467	117608	+
100101467	54998	-
100101467	5781	+
100101467	51079	-
100101467	10538	-
100101467	255809	-
100101467	256356	+
100101467	55526	+
100101467	6169	-
100101467	84188	+
100101467	89970	+
100101467	6645	+
100101467	154449	+
100101467	90576	+
